            user_name            | count 
---------------------------------+-------
 しゅんぺー                      |     2
 000111222                       |     4
 -029qaweorgitwe9[ghoainw        |     1
 116434512                       |     1
 131teng                         |     1
 1dds1                           |     7
 21jeff                          |     3
 21_Jeff_21                      |     1
 21st Century Mapper             |     3
 321contact                      |    36
 35thu                           |     1
 41148                           |     7
 45465465465465465               |     1
 4Peace                          |    27
 5bird                           |    24
 666tonky                        |     5
 73045                           |     9
 7abibte                         |    13
 7pacima                         |   155
 98mapperEdB                     |     1
 aa2014                          |     1
 Aalk4308                        |     4
 aarchang                        |    14
 AaronBrunt                      |   115
 aaron_g                         |     4
 Aastha Rajan                    |    29
 aayvee                          |    15
 abain                           |     9
 AbandonedBurger                 |     2
 ABATAILLE                       |     3
 Abay44                          |     1
 abbycooper                      |     2
 Abdul OSM                       |    28
 Abdul Rehman Riaz               |     6
 Abdul Yusufu                    |     4
 Abertran                        |     9
 Abhay Bakaya                    |     2
 abhishek15                      |    36
 abiegano                        |     5
 abigailisabell                  |     5
 abizt                           |     2
 abrthlms                        |     3
 aclough                         |    47
 acr1200                         |   128
 ACru                            |     9
 Adam Dodge                      |    15
 AdamW9                          |     9
 adeelmalik                      |    11
 Adele123                        |     1
 Adesola Leslie                  |  1961
 adguat                          |     3
 Adi Jadhav                      |    95
 Aditya Shobhawat                |    89
 Adriana1q2w                     |    36
 Adrian MP                       |    15
 adtzmb45                        |    58
 Adutchman                       |     2
 Aeoline                         |     5
 AeroMatter                      |    53
 AEV                             |    10
 AFORTWENGLER                    |     5
 agatagomes                      |    19
 AgnieszkaB                      |     2
 Agris7                          |     1
 agtkol                          |     2
 AH72                            |     1
 AHA_Mentor_Kevin                |     1
 Ahmet Erkoc                     |    15
 AHolbrook                       |    40
 ahoward33                       |     7
 aiahola                         |     6
 Ailidh                          |     5
 aimarti                         |     3
 ainosilva                       |     4
 Aisah Chg                       |   326
 Aisha Ahmed                     |     4
 AJFarr                          |     4
 akhan13                         |     2
 Akhil Chandra                   |     2
 Akhmad Sigit A                  |     4
 AKOUETE                         |     3
 Akshita Bansal                  |     4
 Aku sedodo                      |     1
 Al3xJan3                        |    53
 Alain Van Echelpoel             |     1
 Alan1066                        |     4
 Alastair500                     |     9
 Alastair Carson                 |     9
 Alaudo                          |     5
 AlbertoNewt                     |     2
 Albertus Meintjes               |    13
 AlecEdwards                     |     4
 alejandravidalr                 |    17
 alejaross                       |     1
 Aleks0191                       |     6
 Aleksandra_Prague               |    29
 alerubbio                       |     5
 AlessandraGiron                 |     4
 alessandraip                    |    13
 Alessandra Scutti               |     2
 Alex3334                        |     4
 Alexander Yan                   |    23
 Alex Bridges                    |     1
 AlexDaCamara                    |     8
 alexia_krystine757              |    79
 Alexis Ndekwe                   |    12
 Alexis_Zumwalt                  |     1
 Alex larin                      |     1
 Alex Loh                        |     7
 AlexMontgomery                  |     4
 AlexPierstorff                  |    18
 AlexThur                        |     3
 AlexThym                        |    26
 alexv501                        |     3
 Alex Wafula                     |     9
 alfarhan321                     |     1
 Alfred Muge                     |    18
 Al Higginbottom                 |     2
 Ali-B                           |    12
 Alice Bonfiglio                 |     5
 aliceciku                       |     1
 Alice°o°                        |     1
 Alice the Penguin               |    84
 Alice Xavier                    |     1
 AliciaFujE                      |     5
 alicianeville88                 |     1
 AlikiTs                         |     1
 Ali L Khan                      |    11
 AliMapper                       |     7
 alina_kuhl75                    |     1
 alinapaz                        |    34
 Aline Canada                    |    27
 Alison Orr                      |     1
 alissapetinge                   |     9
 allearth                        |     2
 allison and alicia yayayaya     |     1
 ally hamisi irdp                |     6
 Almudena Barona                 |     4
 AL_O'Dea                        |     7
 alpervural                      |     4
 alpineskies                     |    11
 Altosue                         |    31
 Alvarofe                        |    26
 Alvira Navarro                  |    31
 alwheatley                      |     1
 Alysemilk                       |     6
 alyssa8                         |    18
 Amal Al Suwaidi                 |    75
 Aman Arora                      |     9
 amanda517                       |     4
 Amanda Barnett                  |     1
 AmandaJ19                       |     8
 amandalynnf15                   |     1
 a_mang                          |    21
 Amarda                          |    10
 Amaury79                        |     1
 Amber Cooper                    |     1
 AmberD                          |     1
 AmberMaps                       |    12
 amelialewis                     |     2
 Amelia Murphy                   |     4
 ameni1994                       |    15
 AmeyRahman                      |    39
 amfo                            |    17
 amhumphries                     |    12
 amichels88                      |     6
 Amina84                         |     1
 aminahss                        |     2
 amitgala                        |     5
 amlb                            |     1
 ammber                          |     5
 ammmg                           |    13
 Ampatent                        |     1
 amratemo                        |     8
 Amuli                           |    18
 amyg82                          |     9
 AmyKSL                          |     4
 AmyMo                           |     1
 AmyMS                           |     2
 amy_pears                       |     3
 AmyZel                          |     7
 anaoro                          |     6
 ANA PAOLA SALAS                 |     5
 Ana Ravina                      |     2
 Anarkky88                       |    14
 AnaRocio                        |    23
 Ana Silva Fernandes             |    16
 Anaximandre                     |    19
 AndebyG                         |    15
 Andiyur                         |     1
 Andrea Maddux Sampson           |     3
 andrebcs                        |   125
 AndreConti                      |     6
 André Policarpo                 |     7
 andreshuang14                   |     3
 Andrew_hamilton                 |     5
 Andrew Hopkins                  |    60
 AndrewJ_Hill                    |     1
 Andrew Pierson                  |     1
 Andrius Tomasevicius            |     6
 andya96                         |     6
 Andy Cooper                     |    25
 andygarmon03                    |     7
 andyH0157                       |     5
 anedras92                       |     1
 anettelaboux                    |    18
 AngeA                           |    18
 angela107                       |     1
 Angela Bretagne                 |    19
 angela_da                       |     8
 AngelinaSu                      |     4
 angelNASH                       |    54
 Angel Vinod                     |     7
 AngelWarrior                    |     7
 AngieLoMo                       |     1
 Angie Miller                    |    16
 anirudhavilala                  |     4
 anisha patel                    |     4
 anjala                          |     1
 anjali12345                     |    30
 Anjana S                        |     4
 anko_frank                      |    39
 Ankur Mittal                    |     5
 Annaakk                         |     6
 Annabil                         |   214
 annamariar                      |    10
 annarend                        |     3
 Anna Teetzmann                  |    34
 Anna Tokumoto                   |    53
 AnnaZawadzka                    |     5
 AnneBarreto                     |     1
 Anneleen V                      |    11
 annemarincoln                   |     5
 AnneWoo                         |    83
 annianni                        |     6
 Annieannie                      |     2
 Annouchkavi                     |     3
 AnoukLagendijk                  |     8
 Anthony Acquah                  |     1
 anthony_blood                   |     4
 Anthony Franco                  |    19
 anthropicorganism               |     1
 AntoineGros                     |    30
 antonella bortolato             |    11
 AnujaKirupa                     |     3
 aoayodej                        |    98
 aoi19                           |     1
 aotten1                         |    14
 APBurr                          |    28
 apembert                        |     3
 APJ2017                         |    19
 A Portt                         |    45
 Apple Fairview                  |    52
 ar333                           |     1
 arabellar                       |     3
 arbeitandy                      |     1
 archana_v                       |     3
 Areeba                          |    41
 ArgeñalTadeo                    |    15
 Arges42                         |     2
 Argiñe Diana                    |    39
 argreene11                      |     1
 arjnve                          |     2
 ARJUNV                          |    28
 Arkmagi                         |     2
 ARL0                            |    21
 Armand Kok                      |    15
 Armani Black                    |     4
 ArneKimmig                      |     5
 aroberts                        |     1
 ARPN                            |     4
 arshakerbrown                   |     2
 Arshley                         |     9
 Arthur Barto                    |    19
 Arturo Rojas                    |     2
 ArtursUK                        |     3
 arugula3                        |    22
 Arun Balaji                     |    50
 ArunG                           |     7
 arv^                            |     4
 AS-                             |    10
 asarkar                         |     4
 asaro92                         |     4
 asaundry                        |     5
 asebuk14                        |     9
 ashbible                        |    11
 ASHIQ MAHAMUD                   |     2
 Ashiruma                        |    29
 Ashk89                          |     1
 AshleighB                       |     3
 AshMehta                        |    17
 Ashuane                         |     1
 ashwinkumar18                   |     6
 asmael                          |     9
 asmi84                          |     1
 A Snospar                       |    11
 Aspen C                         |     8
 Astral8                         |     3
 Atasia                          |     2
 Ataur Rahman Shaheen            |    14
 Atchater                        |    10
 Atifa                           |     6
 Atif JB                         |     4
 atlantisocean                   |     1
 audragg                         |    74
 Augustas                        |    29
 AugusteTom                      |     9
 aurel_joys                      |     2
 AuroraD                         |    69
 AuroraF                         |     2
 Auzuni                          |     9
 Avatund                         |     4
 Avazquez                        |     1
 AVERINENI                       |   139
 Avery Stern                     |     2
 Avrum                           |     2
 avy                             |    13
 awilson1233                     |     1
 ayamegahed                      |     2
 Aybuke                          |    35
 Aziz Alarifi                    |     6
 AzraJawaid                      |     1
 BabithaG                        |     3
 Babyboomer                      |     5
 Badiss                          |     4
 bahbahgg                        |     5
 Bai_Nag                         |    13
 banel                           |     9
 Barbara du Preez-Ulmi           |   278
 BarborkaCZ                      |     2
 Bartoňová                       |     7
 Bastian_S                       |    55
 Bavesh Kooverji                 |    15
 bbillupsjr                      |     1
 bbroy13                         |    24
 BC26                            |     1
 bdh70                           |   191
 bdowning                        |    13
 BeaAkemi                        |    26
 bearghi                         |    10
 beasly                          |    63
 Beatriz Gaspar                  |     1
 Beatriz Marcolino               |     2
 Beckylf                         |     7
 Becky Swaffield                 |     1
 BeeGeez                         |     1
 Behiç Anıl Ekim                 |    42
 Bekah Diotte                    |     7
 belenpalao                      |     8
 bellabella                      |   178
 BelleEpoqueSJ                   |   433
 Bellithorp                      |    36
 bemmelkamp                      |     3
 Ben-Carlini                     |    45
 Ben @ CCBS                      |     4
 Benedcto Adamu                  |    40
 Ben Fiebert                     |     3
 Ben Hicklin                     |     4
 benjaminfrin                    |     1
 Benji01                         |     9
 Benkohi                         |     1
 Benny Liu                       |    10
 BenReynolds                     |    18
 Ben Richardson                  |     5
 Ben Rooks                       |     5
 benthatcher                     |   363
 Beny Carbajal                   |    24
 Berkley Jenkins                 |     4
 BernadetteB                     |   147
 bernykk                         |     5
 Berta10                         |     1
 bertiekingsley                  |     2
 Berumotto                       |     1
 Beruskazelena                   |   104
 Bethany13                       |     1
 BethanyC                        |     5
 Bev A                           |     2
 Bevieann                        |     6
 BEVM                            |     8
 bf777                           |    43
 bfassel                         |     3
 Bfontenay                       |     1
 bgard                           |   124
 BGill                           |     4
 bgk123                          |     5
 bhavin1191                      |    45
 Bhavs                           |    28
 biancama                        |     8
 bieke cattoor                   |    13
 bigee14                         |     4
 BigEric91                       |     6
 Bimdogo Mohamed                 |     5
 Bincent                         |     1
 bingobeach                      |    40
 Bivas Mustafa                   |    37
 Blackrose7645                   |     2
 blakedraper                     |    10
 Blase D                         |   135
 blergh                          |    37
 blije-rije                      |     4
 Bliss Chambers                  |     1
 Blockish                        |     9
 blpablos                        |     1
 bluefin32                       |    26
 BLWillett                       |     7
 Bmaina                          |    14
 bmitchel                        |     2
 bmpira                          |    71
 bobagr                          |     2
 bobcatt                         |     7
 bocekm                          |     5
 bogomilGeorgiev                 |    46
 bohacond                        |     1
 Bombik                          |    21
 bona2017                        |     2
 boomkewarin                     |     7
 BosNn                           |     2
 Bossou  Richard                 |     7
 Brad Lewis                      |     3
 bradythebeasty                  |     6
 Bram Seigers                    |     4
 BrandonHinds                    |    14
 Brandon Klotz                   |     1
 Brendafm                        |     7
 BrendanHen                      |    33
 brenkcorr                       |     2
 Brett A                         |     3
 Brianna Dean                    |     1
 Brianna Doocey                  |     1
 Brian Nord                      |     5
 Briantf                         |     1
 Bria Parker                     |     7
 Brice Gros                      |     4
 Bridget Bielski                 |     2
 BrienTwomey                     |     1
 Brigitte_S                      |     1
 brinosbig                       |     3
 Bristol2015                     |   392
 Brittany Moffett                |     5
 Brittany Roy                    |     4
 brittster                       |    19
 brixxdecker                     |     1
 Broadestpeak                    |     3
 BRobeson                        |     2
 BroCookie                       |     1
 bronagh                         |     1
 b_rube                          |    13
 Bruna Murbach de Oliveira       |   413
 brunoacafonso                   |     5
 brunomoreira                    |     1
 BryanA20                        |     3
 Bryant C                        |     4
 bryceson                        |    17
 Bryn Jones                      |     4
 Bryon Hargis                    |     7
 Bryson56                        |     1
 bsewell                         |     1
